CART_ID,ORDER,WIP_ID,ACTION,COMPLETE_TIME
C01,1,W29,PICKUP,3.0
C01,2,W29,DELIVERY,24.0
C01,3,W08,PICKUP,30.0
C01,4,W08,DELIVERY,56.0
C01,5,W18,PICKUP,59.0
C01,6,W18,DELIVERY,64.0
C01,7,W19,PICKUP,73.0
C01,8,W19,DELIVERY,78.0
C02,1,W02,PICKUP,14.0
C02,2,W02,DELIVERY,31.0
C02,3,W38,PICKUP,32.0
C02,4,W38,DELIVERY,50.0
C02,5,W35,PICKUP,53.0
C02,6,W35,DELIVERY,81.0
C03,1,W11,PICKUP,34.0
C03,2,W11,DELIVERY,41.0
C03,3,W26,PICKUP,47.0
C03,4,W26,DELIVERY,50.0
C03,5,W21,PICKUP,53.0
C03,6,W21,DELIVERY,66.0
C04,1,W36,PICKUP,4.0
C04,2,W36,DELIVERY,24.0
C04,3,W27,PICKUP,30.0
C04,4,W27,DELIVERY,45.0
C04,5,W25,PICKUP,49.0
C04,6,W25,DELIVERY,68.0
C05,1,W07,PICKUP,4.0
C05,2,W07,DELIVERY,32.0
C05,3,W30,PICKUP,33.0
C05,4,W30,DELIVERY,41.0
C06,1,W17,PICKUP,21.0
C06,2,W17,DELIVERY,47.0
C06,3,W39,PICKUP,51.0
C06,4,W39,DELIVERY,56.0
C06,5,W12,PICKUP,57.0
C06,6,W12,DELIVERY,67.0
C06,7,W06,PICKUP,75.0
C06,8,W06,DELIVERY,101.0
C07,1,W20,PICKUP,23.0
C07,2,W20,DELIVERY,49.0
C07,3,W15,PICKUP,53.0
C07,4,W15,DELIVERY,58.0
C07,5,W24,PICKUP,62.0
C07,6,W24,DELIVERY,62.0
C07,7,W32,PICKUP,65.0
C07,8,W32,DELIVERY,88.0
C08,1,W03,PICKUP,26.0
C08,2,W03,DELIVERY,41.0
C08,3,W22,PICKUP,47.0
C08,4,W22,DELIVERY,75.0
C08,5,W14,PICKUP,79.0
C08,6,W14,DELIVERY,87.0
C09,1,W37,PICKUP,22.0
C09,2,W37,DELIVERY,44.0
C09,3,W13,PICKUP,48.0
C09,4,W13,DELIVERY,58.0
C10,1,W40,PICKUP,24.0
C10,2,W40,DELIVERY,47.0
C10,3,W01,PICKUP,48.0
C10,4,W01,DELIVERY,55.0
C11,1,W09,PICKUP,24.0
C11,2,W09,DELIVERY,52.0
C11,3,W16,PICKUP,58.0
C11,4,W16,DELIVERY,74.0
C12,1,W31,PICKUP,17.0
C12,2,W31,DELIVERY,32.0
C12,3,W28,PICKUP,36.0
C12,4,W28,DELIVERY,41.0
C12,5,W05,PICKUP,45.0
C12,6,W05,DELIVERY,73.0
C13,1,W04,PICKUP,24.0
C13,2,W04,DELIVERY,52.0
C14,1,W34,PICKUP,24.0
C14,2,W34,DELIVERY,52.0
C15,1,W23,PICKUP,6.0
C15,2,W23,DELIVERY,34.0
C16,1,W33,PICKUP,3.0
C16,2,W33,DELIVERY,23.0
C16,3,W10,PICKUP,24.0
C16,4,W10,DELIVERY,39.0
